Inventario,Autore,Ambito culturale,Datazione,Titolo,Materiali,Immagine
0172/VD,,arte veneziana,XVI/XVII,S.Caterina,vetro - piombo,http://93.62.170.226/foto/M0019354.jpg
0173/VD,,arte veneziana,XVI,Natività / Annunciazione,vetro - metallo,http://93.62.170.226/foto/M0019355.jpg
0174/VD,,arte veneziana,XVI,Adorazione dei Magi,vetro - legno,http://93.62.170.226/foto/M0019356.jpg
0175/VD,,arte veneta,XVI,Resurrezione di Cristo,vetro,http://93.62.170.226/foto/M0019357.jpg
0176/VD,,scuola di Fontainebleau,XVI,Giunone / Minerva / Venere,vetro - piombo,http://93.62.170.226/foto/M0019358.jpg
0177/VD,,arte italiana,XVI,Caduta di Cristo sotto la Croce,vetro - piombo,http://93.62.170.226/foto/M0019359.jpg
0178/VD,,arte italiana,XVI,Cristo in croce,vetro - piombo,http://93.62.170.226/foto/M0019360.jpg
0179/VD,,scuola di Fontainebleau,XVI,Diana / Atteone,vetro - cristallo - legno di ebano,http://93.62.170.226/foto/M0019361.jpg
0180/VD,,arte lombarda,XVI,Gesù Cristo e la Madonna,vetro - argento,http://93.62.170.226/foto/M0019362A.jpg
0181/VD,,arte italiana,1580 - ca. 1580,Cristo nell'orto degli ulivi,vetro - legno di ebano - avorio,http://93.62.170.226/foto/M0019363.jpg
0182/VD,,arte italiana,XVI,Cristo nel Getsemani,cristallo - argento - cera,http://93.62.170.226/foto/M0019364.jpg
0184/VD,,arte lombarda,XVI/XVII,Adorazione dei Magi,cristallo - legno di ebano - ottone,http://93.62.170.226/foto/M0019366.jpg
0185/VD,,arte lombarda,XVII,Redentore / Stigmate di S. Francesco,cristallo di rocca dorato - cristallo di rocca dipinto,http://93.62.170.226/foto/M0019367.jpg
0186/VD,,scuola di Federico Barocci,XVI,ritratto di dama,vetro - piombo,http://93.62.170.226/foto/M0019368.jpg
0187/VD,,scuola degli Zuccari,XVI,Clemenza di Traiano,vetro - bronzo,http://93.62.170.226/foto/M0019369.jpg
0228/VD,,paesista olandese italianizzante,XVII,spiaggia / veliero,vetro - piombo,http://93.62.170.226/foto/M0019370.jpg
0229/VD,,artista fiammingo italianizzante,XVII,battaglia navale,vetro - piombo,http://93.62.170.226/foto/M0019371.jpg
0230/VD,,artista fiammingo italianizzante,XVII,battaglia navale,vetro - piombo,http://93.62.170.226/foto/M0019372.jpg
0231/VD,,arte italiana,XVII,baccanale,vetro - bronzo,http://93.62.170.226/foto/M0019373.jpg
0232/VD,,artista fiammingo italianizzante,XVII,Ecce Homo,vetro - legno,http://93.62.170.226/foto/M0019374.jpg
0232/VD,,artista nordico operante in Italia,XVII,Ecce Homo,vetro - legno,http://93.62.170.226/foto/M0019374.jpg
0233/VD,,arte napoletana,XVII,Adorazione dei pastori,vetro - piombo,http://93.62.170.226/foto/M0019375.jpg
0234/VD,,arte dell'Italia settentrionale,XVII,Annunciazione,specchio - legno,http://93.62.170.226/foto/M0019376.jpg
0235/VD,,arte italiana,XVII,Adorazione dei pastori,vetro - piombo,http://93.62.170.226/foto/M0019377.jpg
0236/VD,,arte veneziana,XVII,leone di S. Marco,vetro - legno di ebano,http://93.62.170.226/foto/M0019378.jpg
0237/VD,,scuola di Luca Giordano (Della Torre),1680 - ca. 1690,Narciso al fonte,vetro - piombo,http://93.62.170.226/foto/M0019379.jpg
0238/VD,,arte valsesiana - chiesa di Alagna,XVI,San Antonio Abate,vetro dipinto,http://93.62.170.226/foto/M0019380.jpg
0239/VD,,arte della Germania meridionale,XVI,Carità,vetro dipinto,http://93.62.170.226/foto/M0019381.jpg
0240/VD,Gerente Alfred,maestro vetrario dell'Ile de France,XII,re,vetro colorato,http://93.62.170.226/foto/M0019382.jpg
0241/VD,,Venezia,XVIII,personaggi intenti a remare,vetro - smalti policromi,http://93.62.170.226/foto/M0019383.jpg
0244/VD,,arte italiana,XVIII,Natività / Adorazione dei Pastori,vetro - piombo,http://93.62.170.226/foto/M0019386.jpg
0246/VD,,arte italiana,XVIII,ritratto di gentiluomo,NULL,http://93.62.170.226/foto/M0019388.jpg
0247/VD,,arte veneta,XVIII,San Antonio da Padova / Bambino Gesù,vetro - specchio - legno,http://93.62.170.226/foto/M0019389.jpg
0248/VD,,scuola del Piazzetta,XVIII,giovane flautista / dama,vetro - legno,http://93.62.170.226/foto/M0019390.jpg
0249/VD,,scuola del Piazzetta,XVIII,giovane / anziano / cestino di fiori,vetro - legno,http://93.62.170.226/foto/M0019391.jpg
0295/VD,,arte indiana,XIX,ritratto femminile,vetro,http://93.62.170.226/foto/M0019392.jpg
0299/VD,,arte valsesiana - chiesa di Alagna,XVI,crocifisso tra la Vergine e San Giovanni,vetro dipinto,http://93.62.170.226/foto/M0019396.jpg
0300/VD,,arte valsesiana - chiesa di Alagna,XVI,Madonna in trono con Bambino,vetro dipinto,http://93.62.170.226/foto/M0019397.jpg
0301/VD,,Lucerna,1593,Beato Vescovo Apollinare,vetro colorato - vetro dipinto,http://93.62.170.226/foto/M0019398.jpg
0302/VD,,arte aostana,XV,Stemma del Capitolo / Cattedrale di Aosta,vetro colorato,http://93.62.170.226/foto/M0019399.jpg
0303/VD,,arte valsesiana - chiesa di Alagna,XVI,Santo con libro,vetro dipinto,http://93.62.170.226/foto/M0019400.jpg
0304/VD,,maestro vetraio del Piemonte occidentale,1510 - 1510,Sant'Antonio con il committente,vetro colorato - vetro a grisaille,http://93.62.170.226/foto/M0019401.jpg
0307/VD,,maestro vetraio del Piemonte occidentale,1510 - 1510,San Pietro con il committente,vetro colorato - vetro a grisaille,http://93.62.170.226/foto/M0019404.jpg
0311/VD,,arte lombarda,XVI,Adorazione dei pastori / Ascensione della Vergine,cristallo di rocca - oro - smalto,http://93.62.170.226/foto/M0019408.jpg
0314/VD,,arte dell'Italia centrale,XVI,figure femminili / sacerdote / pellegrino,vetro policromo - vetro dipinto - vetro a grisaille,http://93.62.170.226/foto/M0019411.jpg
0315/VD,,manifattura di Murano,XVI,dama a mezzo busto,vetro a reticello dipinto - vetro a reticello dorato,http://93.62.170.226/foto/M0019412.jpg
0316/VD,,manifattura di Murano,XVI,busto femminile,vetro a reticello dipinto - vetro a reticello dorato,http://93.62.170.226/foto/M0019413.jpg
0317/VD,,manifattura di Murano,XVI,Giudizio di Paride,vetro dorato - vetro dipinto a freddo,http://93.62.170.226/foto/M0019414.jpg
0319/VD,,manifattura giapponese,XVIII,pagoda / alberi / rocce / animali,cristallo di rocca - rame dorato - osso,http://93.62.170.226/foto/M0019416.jpg
0210/M,,arte francese,XVIII,ritratto del Duca di Anjoù,olio su rame - legno,http://93.62.170.226/foto/M0019525.jpg
0241/M,,bottega di Bonzanigo Giuseppe Maria,XVIII,Sacra Famiglia,tempera su avorio - legno,http://93.62.170.226/foto/M0019556.jpg
0382/M,,scuola di Nicolò di Giacomo,1385 - 1385,Madonna con Bambino,tempera su pergamena - inchiostro su pergamena,http://93.62.170.226/foto/M0019697.jpg
0193/AV,,arte italiana,XVI,puttino,avorio,http://93.62.170.226/foto/M0019721.jpg
0196/AV,,Italia settentrionale,XV,scudi,avorio,http://93.62.170.226/foto/M0019724.jpg
0197/AV,,bottega dell'Italia meridionale,XIII/XIV,testa di fiera / testa di serpente / Agnus Dei,avorio - osso,http://93.62.170.226/foto/M0019725.jpg
0198/AV,,bottega di Baldassarre degli Embriachi,XV,soldati / donne velate,avorio,http://93.62.170.226/foto/M0019726.jpg
0199/AV,,bottega degli Embriachi - Italia settentrionale,XV,Re e cortigiani,avorio,http://93.62.170.226/foto/M0019727.jpg
0200/AV,,bottega degli Embriachi - Italia settentrionale,XV,frati / neonati / figure maschili,avorio,http://93.62.170.226/foto/M0019728.jpg
0201/AV-a,,bottega embriachesca,XV,due genii alati,avorio,http://93.62.170.226/foto/M0019729.jpg
0201/AV-b,,bottega embriachesca,XV,due genii alati,avorio,http://93.62.170.226/foto/M0019730.jpg
0201/AV-c,,bottega embriachesca,XV,due genii alati,avorio,http://93.62.170.226/foto/M0019731.jpg
0201/AV-d,,bottega embriachesca,XV,due genii alati,avorio,http://93.62.170.226/foto/M0019732.jpg
0201/AV-e,,bottega embriachesca,XV,due genii alati,avorio,http://93.62.170.226/foto/M0019733.jpg
0201/AV-f,,bottega embriachesca,XV,due geni,avorio,http://93.62.170.226/foto/M0019734.jpg
0201/AV-g,,bottega embriachesca,XV,due geni,avorio,http://93.62.170.226/foto/M0019735.jpg
0201/AV-h/i,,bottega embriachesca,XV,due geni,avorio,http://93.62.170.226/foto/M0019736A.jpg
0201/AV-l/m,,bottega embriachesca,XV,due geni alati,avorio,http://93.62.170.226/foto/M0019737A.jpg
0201/AV-n,,bottega embriachesca,XV,due geni,avorio,http://93.62.170.226/foto/M0019738.jpg
0201/AV-o/p,,bottega embriachesca,XV,due geni alati,avorio,http://93.62.170.226/foto/M0019739A.jpg
0201/AV-q,,bottega embriachesca,XV,due genii in barca,avorio,http://93.62.170.226/foto/M0019740.jpg
0202/AV,,bottega degli Embriachi - Italia settentrionale,XIV,due genii alati,avorio,http://93.62.170.226/foto/M0019741.jpg
0203/AV,,bottega embriachesca,XV,figure femminili,avorio,http://93.62.170.226/foto/M0019742.jpg
0204/AV,,bottega degli Embriachi - Italia settentrionale,XV,due figure femminili,avorio,http://93.62.170.226/foto/M0019743.jpg
0205/AV,,bottega degli Embriachi - Italia settentrionale,XV,,avorio,http://93.62.170.226/foto/M0019744.jpg
0206/AV,,bottega embriachesca,XV,coppie femminili,avorio,http://93.62.170.226/foto/M0019745.jpg
0207/AV,,bottega embriachesca,XV,due figure femminili,avorio,http://93.62.170.226/foto/M0019746.jpg
0208/AV,,bottega embriachesca,XV,coppie,avorio,http://93.62.170.226/foto/M0019747.jpg
0209/AV,,bottega embriachesca,XV,tre figure femminili,avorio,http://93.62.170.226/foto/M0019748.jpg
0210/AV,,bottega embriachesca,XV,alberi / vecchio con barba,avorio,http://93.62.170.226/foto/M0019749.jpg
0211/AV,,bottega embriachesca,XV,figure femminili,avorio colorato,http://93.62.170.226/foto/M0019750.jpg
0212/AV,,bottega embriachesca,XV,colonnina scanalata,avorio,http://93.62.170.226/foto/M0019751.jpg
0213/AV,,bottega embriachesca,XV,fontana / testa di satiro / corna di cervo,avorio,http://93.62.170.226/foto/M0019752.jpg
0214/AV,,bottega embriachesca,XV,fontana / colonnina / palmette,avorio,http://93.62.170.226/foto/M0019753.jpg
0215/AV,,bottega degli Embriachi - Italia settentrionale,XV,coppia di personaggi,avorio,http://93.62.170.226/foto/M0019754.jpg
0216/AV,,bottega embriachesca,XV,figura femminile alata e coronata,avorio,http://93.62.170.226/foto/M0019755.jpg
0217/AV,,bottega degli Embriachi - Italia settentrionale,XV,figura nuda tra fogliame,avorio,http://93.62.170.226/foto/M0019756.jpg
0218/AV,,bottega degli Embriachi - Italia settentrionale,XV,figura femminile panneggiata,avorio,http://93.62.170.226/foto/M0019757.jpg
0219/AV,,bottega degli Embriachi - Italia settentrionale,XV,monaco con due fanciulli,avorio,http://93.62.170.226/foto/M0019758.jpg
0220/AV,,arte francese,XIV,figura femminile coronata,avorio,http://93.62.170.226/foto/M0019759.jpg
0221/AV,,bottega embriachesca,XV,due donne / genio alato / figura femminile / frate con vecchio barbuto / figure abbracciate / vecchio con barba / figura velata,avorio,http://93.62.170.226/foto/M0019760.jpg
0222/AV,,bottega embriachesca,XV,figure femminili a mani giunte,avorio,http://93.62.170.226/foto/M0019761.jpg
0223/AV,,bottega di Baldassarre degli Embriachi,XV,geni alati tra fogliami / scene della vita e della passione di Cristo,osso - corno - legno,http://93.62.170.226/foto/M0019762.jpg
0229/AV,,Germania Meridionale,XVIII,figura femminile con bambino,avorio,http://93.62.170.226/foto/M0019768.jpg
0230/AV,,Germania Meridionale,XVIII,figura maschile con cappa e turbante,avorio,http://93.62.170.226/foto/M0019769.jpg
0231/AV,,Germania Meridionale,XVIII,angelo,avorio,http://93.62.170.226/foto/M0019770.jpg
0239/AV,NULL,atelier di Bonzanigo Giuseppe Maria,XIX,profilo del re Carlo Felice,avorio - legno di ebano - legno,http://93.62.170.226/foto/M0019778.jpg
0302/A,,argentiere piemontese,1775 - 1778,ghirlande di foglie e fiori / bocciolo di rosa,argento,http://93.62.170.226/foto/M0019791.jpg
0323/A,,argentiere piemontese,1779 - 1815,fascia percorsa da festoni d'alloro / protome leonina / zampe ferine / beccuccio a testa di rapace / pomolo a pigna,argento - legno,http://93.62.170.226/foto/M0019812.jpg
0341/A,,arte fiamminga,XV,,argento dorato,http://93.62.170.226/foto/M0019830A.jpg
0643/T,,manifattura italiana,XVIII,tronchi / nastri,seta - filato metallico,http://93.62.170.226/foto/M0019972.jpg
0643/T,,fabbrica francese,XVIII,tronchi / nastri,seta - filato metallico,http://93.62.170.226/foto/M0019972.jpg
0970/T,,manifattura italiana,XVII,,seta - filato metallico,http://93.62.170.226/foto/M0019998.jpg
0970/T,,fabbrica francese,XVII,,seta - filato metallico,http://93.62.170.226/foto/M0019998.jpg
0002/B,,manifattura veneta,XVI,testa di cane/due teste di guerriero,bronzo patinato - ottone,http://93.62.170.226/foto/M0020002A.jpg
0017/B,,arte veneta,XVI,Venere,bronzo,http://93.62.170.226/foto/M0020017.jpg
0020/B,,manifattura italiana,XVII,busto di imperatore romano,rame brunito,http://93.62.170.226/foto/M0020020.jpg
0021/B,,manifattura italiana,XVII,natura morta,ottone brunito,http://93.62.170.226/foto/M0020021.jpg
0023/B,,manifattura italiana,XVII,Vergine e S. Giovanni,ottone brunito,http://93.62.170.226/foto/M0020023.jpg
0024/B,,arte veneta,XVI,angioletto con delfino sulle spalle,ottone brunito,http://93.62.170.226/foto/M0020024.jpg
0026/B,,arte padovana,XVI,Atlante,bronzo,http://93.62.170.226/foto/M0020026.jpg
0030/B,,manifattura italiana,XVI,ritratti di imperatori,bronzo,http://93.62.170.226/foto/M0020030.jpg
0031/B,,manifattura italiana,XVI,Medusa,bronzo brunito,http://93.62.170.226/foto/M0020031.jpg
0033/B,,arte veneziana,XVI,Diana,bronzo,http://93.62.170.226/foto/M0020033.jpg
0034/B,,manifattura italiana,XVII,Venere,ottone verniciato,http://93.62.170.226/foto/M0020034.jpg
0038/B,,manifattura veneta,XVI,due santi martiri,bronzo dorato,http://93.62.170.226/foto/M0020038A.jpg
0071/B,,arte italiana,XVI,figurine / fregio geometrico / stemma,bronzo,http://93.62.170.226/foto/M0020071.jpg
0092/B,,manifattura italiana,XVI,Geometria,bronzo,http://93.62.170.226/foto/M0020091.jpg
0097/B,,manifattura italiana,XVI,mascheroni / volute,bronzo brunito,http://93.62.170.226/foto/M0020096.jpg
0208/DS,,atelier di Carlo Francesco Beaumont,1694 - 1766,studio di angelo/studio di due puttini,matita su carta,http://93.62.170.226/foto/M0020205.jpg
0210/DS,,atelier di Carlo Francesco Beaumont,1694 - 1766,gruppo di figure,inchiostro su carta,http://93.62.170.226/foto/M0020207.jpg
0211/DS,,atelier di Carlo Francesco Beaumont,1694 - 1766,dettaglio architettonico,inchiostro su carta,http://93.62.170.226/foto/M0020208.jpg
0212/DS,,atelier di Carlo Francesco Beaumont,1694 - 1766,architettura,inchiostro su carta,http://93.62.170.226/foto/M0020209.jpg
0294/DS,,atelier di Carlo Francesco Beaumont,1694 - 1766,Abbondanza,sanguigna su carta,http://93.62.170.226/foto/M0020296.jpg
1505/DS,,bottega orafa dei Baglione,1814 - 1824,caffettiera,inchiostro su carta,http://93.62.170.226/foto/M0020525.jpg
0063/S,,cerchia di Pierre Courteys,XVI,Adamo / Eva,smalto dipinto su rame,http://93.62.170.226/foto/M0021380.jpg
0066/S,,arte limosina,XIII,San Giovanni,smalto champlevé su rame,http://93.62.170.226/foto/M0021383.jpg
0067/S,,arte francese,XIII,,smalto champlevé su ottone,http://93.62.170.226/foto/M0021384.jpg
0068/S,,laboratorio ignoto,XIV ?,,smalto champlevé su rame,http://93.62.170.226/foto/M0021385.jpg
0069/S,,arte limosina,XVII,Santa Teresa,smalto dipinto su rame,http://93.62.170.226/foto/M0021386.jpg
0070/S,,arte italiana,XVI,Madonna in trono/Bambino/due angioletti,smalto su bronzo,http://93.62.170.226/foto/M0021387.jpg
0072/S,,arte russa,NULL,due scene della vita di Cristo,smalto su bronzo dorato,http://93.62.170.226/foto/M0021389.jpg
0073/S,,atelier francese,XVIII,Ispirazione divina di Santa Teresa d'Avila,smalto dipinto su oro,http://93.62.170.226/foto/M0021390.jpg
0075/S,,arte limosina,XVI,gruppo del Laocoonte,smalto dipinto su rame,http://93.62.170.226/foto/M0021392.jpg
0076/S,,cerchia di Pierre Reymond,XVI,storia di Assalone,smalto dipinto su rame,http://93.62.170.226/foto/M0021393.jpg
0078/S,,cerchia di Jean III Pénicaud,XVI,scene sacre,smalto dipinto su rame,http://93.62.170.226/foto/M0021395.jpg
0085/S,,Berlino,1730 - 1740,figure allegoriche e paesini/quattro puttini/busto di Federico II di Prussia,smalto dipinto - rame dorato,http://93.62.170.226/foto/M0021402.jpg
0086/S,,arte tedesca,XVIII,scena galante in campagna,smalto - rame dorato,http://93.62.170.226/foto/M0021403.jpg
0087/S,,Parigi,XVIII,"paesaggini con castelli - statue - giardini - fiumi/scena della ""Commedia Italiana""",smalto dipinto,http://93.62.170.226/foto/M0021404A.jpg
0087/S,,arte tedesca,XVIII,"paesaggini con castelli - statue - giardini - fiumi/scena della ""Commedia Italiana""",smalto dipinto,http://93.62.170.226/foto/M0021404A.jpg
0088/S,,Parigi,XVIII,scenette teatrali,smalto dipinto - argento,http://93.62.170.226/foto/M0021405.jpg
0088/S,,arte tedesca,XVIII,scenette teatrali,smalto dipinto - argento,http://93.62.170.226/foto/M0021405.jpg
0089/S,,Sassonia,ca. 1755 - ca. 1755,,smalto dipinto - manganese - rame,http://93.62.170.226/foto/M0021406.jpg
0090/S,,Dresda,XVIII,episodio miracoloso della caccia di Sant'Uberto,smalto - manganese - rame dorato,http://93.62.170.226/foto/M0021407.jpg
0093/S,,Dresda,XVIII,albero con grossi frutti,smalto - argento,http://93.62.170.226/foto/M0021410.jpg
0094/S,,arte francese,XVI,Natività/Annunciazione/Crocifissione/un'altra Crocifissione/un santo/la Veronica,smalto - vetro dorato - vetro dipinto - ottone dorato,http://93.62.170.226/foto/M0021411A.jpg
0094/S,,arte limosina,XVI,Natività/Annunciazione/Crocifissione/un'altra Crocifissione/un santo/la Veronica,smalto - vetro dorato - vetro dipinto - ottone dorato,http://93.62.170.226/foto/M0021411A.jpg
0097/S,,Dresda,XVIII,scenette animate/paesaggini,smalto - argento,http://93.62.170.226/foto/M0021414.jpg
0097/S,,Vienna,XVIII,scenette animate/paesaggini,smalto - argento,http://93.62.170.226/foto/M0021414.jpg
0101/S,,Cina,XVIII,,bronzo - smalto - giada,http://93.62.170.226/foto/M0021417.jpg
0103/S,,arte limosina,XIII,,smalto champlevé su rame,http://93.62.170.226/foto/M0021419.jpg
0002/PM,,artigianato valdostano - Cogne,NULL,Maria,Pietra ollare intagliata,http://93.62.170.226/foto/M0021421.jpg
0003/PM,,artigianato valdostano - Cogne,NULL,monaco,Pietra ollare intagliata,http://93.62.170.226/foto/M0021422.jpg
0004/PM,,artigianato valdostano - Cogne,NULL,figura maschile,Pietra ollare intagliata,http://93.62.170.226/foto/M0021423.jpg
0039/PM,,arte valdostana,NULL,,Pietra ollare tornita,http://93.62.170.226/foto/M0021458.jpg
0041/PM,,artigianato valdostano,1884 - 1884,alberelli / calamio / data / lettere / stella a 5 punte,Pietra ollare tornita e intagliata,http://93.62.170.226/foto/M0021460.jpg
0042/PM,,arte valdostana,NULL,,Pietra ollare tornita e intagliata,http://93.62.170.226/foto/M0021461.jpg
0043/PM,,arte valdostana,NULL,,Pietra ollare tornita e intagliata,http://93.62.170.226/foto/M0021462.jpg
0044/PM,,arte valdostana,1884 - 1884,data / cuore / lettere,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021463.jpg
0046/PM,,arte valdostana,NULL,fiordalisi / mascheroni / lettera F./ data,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021465.jpg
0047/PM,,arte rustica valdostana - Champorcher,NULL,,Pietra ollare intagliata,http://93.62.170.226/foto/M0021466.jpg
0048/PM,,artigianato valdostano,NULL,,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021467.jpg
0050/PM,,artigianato valdostano,NULL,lettere,Pietra ollare intagliata,http://93.62.170.226/foto/M0021468.jpg
0049/PM,,artigianato valdostano,NULL,croce / figure femminili,Pietra ollare intagliata,http://93.62.170.226/foto/M0021469.jpg
0051/PM,,artigianato valdostano,NULL,,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021470.jpg
0052/PM,,artigianato valdostano,NULL,croce / cane / Agnus Dei,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021471.jpg
0054/PM,,artigianato valdostano,1777 - 1777,data / lettere,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021473.jpg
0055/PM,,artigianato valdostano,NULL,serpente,Pietra ollare intagliata,http://93.62.170.226/foto/M0021474.jpg
0057/PM,,arte rustica valdostana - Champorcher,NULL,,Pietra ollare tornita,http://93.62.170.226/foto/M0021476.jpg
0058/PM,,arte rustica valdostana - Champorcher,NULL,,Pietra ollare tornita,http://93.62.170.226/foto/M0021477.jpg
0059/PM,,arte rustica valdostana - Champorcher,NULL,,Pietra ollare tornita,http://93.62.170.226/foto/M0021478.jpg
0060/PM,,arte rustica valdostana - Champorcher,1523 - 1523,data /croce / scudi / lettere,pietra ollare,http://93.62.170.226/foto/M0021479.jpg
0061/PM,,artigianato valdostano,NULL,,Pietra ollare intagliata,http://93.62.170.226/foto/M0021480.jpg
0062/PM,,artigianato valdostano,NULL,pecora,Pietra ollare intagliata,http://93.62.170.226/foto/M0021481.jpg
0063/PM,,artigianato valdostano,NULL,pecora,Pietra ollare intagliata,http://93.62.170.226/foto/M0021482.jpg
0064/PM,,artigianato valdostano,NULL,pecora,Pietra ollare intagliata,http://93.62.170.226/foto/M0021483.jpg
0065/PM,,artigianato valdostano,NULL,pecora,Pietra ollare intagliata,http://93.62.170.226/foto/M0021484.jpg
0066/PM,,artigianato valdostano,NULL,pecora,Pietra ollare intagliata,http://93.62.170.226/foto/M0021485.jpg
0067/PM,,artigianato valdostano,NULL,mucca,Pietra ollare intagliata,http://93.62.170.226/foto/M0021486.jpg
0068/PM,,artigianato valdostano,NULL,scritta,pietra ollare,http://93.62.170.226/foto/M0021487.jpg
0070/PM,,artigianato valdostano,NULL,,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021489.jpg
0071/PM,,artigianato valdostano,NULL,,Pietra ollare intagliata,http://93.62.170.226/foto/M0021490.jpg
0072/PM,,artigianato valdostano,NULL,,Pietra ollare intagliata,http://93.62.170.226/foto/M0021491.jpg
0073/PM,,artigianato valdostano,NULL,,Pietra ollare tornita e intagliata,http://93.62.170.226/foto/M0021492.jpg
0074/PM,,artigianato valdostano,NULL,,Pietra ollare tornita e intagliata,http://93.62.170.226/foto/M0021493.jpg
0075/PM,,artigianato valdostano,NULL,,Pietra ollare tornita e intagliata,http://93.62.170.226/foto/M0021494.jpg
0076/PM,,artigianato valdostano,NULL,,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021495.jpg
0078/PM,,artigianato valdostano,NULL,,pietra ollare,http://93.62.170.226/foto/M0021497.jpg
0079/PM,,artigianato valdostano,NULL,cigno,pietra ollare,http://93.62.170.226/foto/M0021498.jpg
0080/PM,,artigianato valdostano,NULL,lira,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021499.jpg
0081/PM,,artigianato valdostano,NULL,,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021500.jpg
0082/PM,,artigianato valdostano,NULL,sole,Pietra ollare tornita e intagliata,http://93.62.170.226/foto/M0021501.jpg
0083/PM,,artigianato valdostano,NULL,,Pietra ollare tornita - Pietra ollare intagliata,http://93.62.170.226/foto/M0021502.jpg
0085/PM,,artigianato valdostano,NULL,foglie di acanto,Pietra ollare intagliata,http://93.62.170.226/foto/M0021504.jpg
0087/PM,,artigianato valdostano,NULL,fiore /specie di grande chiodo,Pietra ollare intagliata,http://93.62.170.226/foto/M0021506.jpg
0088/PM,,artigianato valdostano,NULL,figure femminili vicino al muro,Pietra ollare intagliata,http://93.62.170.226/foto/M0021507.jpg
0091/PM,,artigianato valdostano,NULL,,Pietra ollare intagliata,http://93.62.170.226/foto/M0021510.jpg
0092/PM,,artigianato valdostano,NULL,serpente,Pietra ollare intagliata,http://93.62.170.226/foto/M0021511.jpg
0093/PM,,artigianato valdostano,NULL,ramo di ulivo,Pietra ollare intagliata,http://93.62.170.226/foto/M0021512.jpg
0094/PM,,artigianato valdostano,NULL,,Pietra ollare intagliata,http://93.62.170.226/foto/M0021513.jpg
0095/PM,,artigianato valdostano,NULL,,Pietra ollare tornita,http://93.62.170.226/foto/M0021514.jpg
0097/PM,,artigianato valdostano,NULL,,Pietra ollare tornita,http://93.62.170.226/foto/M0021516.jpg
0098/PM,,artigianato valdostano,NULL,foglia,Pietra ollare tornita,http://93.62.170.226/foto/M0021517.jpg
0100/PM,,artigianato valdostano,NULL,,pietra ollare,http://93.62.170.226/foto/M0021519.jpg
0501/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,cordoni a nastro intrecciato,marmo,http://93.62.170.226/foto/M0021520.jpg
0502/PM,,antica Chiesa del S. Salvatore di Torino,XVIII/IX,arco decorato a nastro,marmo,http://93.62.170.226/foto/M0021521.jpg
0503/PM,,antica Chiesa del S. Salvatore di Torino,XVIII/IX,doppia fila di cerchi,marmo,http://93.62.170.226/foto/M0021522.jpg
0504/PM,,antica Chiesa del S. Salvatore di Torino,IX,nastri rigati intrecciati con cerchi,marmo,http://93.62.170.226/foto/M0021523.jpg
0505/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,nastro a doppia rigatura intrecciato,marmo bianco,http://93.62.170.226/foto/M0021524.jpg
0506/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,doppio intreccio di nastri,marmo,http://93.62.170.226/foto/M0021525.jpg
0507/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,doppio intreccio a farfalla di nastri,marmo,http://93.62.170.226/foto/M0021526.jpg
0508/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,intrecci di cerchi concentrici di nastri,marmo,http://93.62.170.226/foto/M0021527.jpg
0509/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,matasse di nastri,marmo,http://93.62.170.226/foto/M0021528.jpg
0510/PM,,antica Chiesa del S. Salvatore di Torino,IX,intrecci di cerchi concentrici di nastri,marmo,http://93.62.170.226/foto/M0021529.jpg
0511/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,doppia treccia di nastri,marmo,http://93.62.170.226/foto/M0021530.jpg
0512/PM,,antica Chiesa del S. Salvatore di Torino,VIII,matasse di nastri/foglie/croci,marmo,http://93.62.170.226/foto/M0021531.jpg
0513/PM,,antica Chiesa del S. Salvatore di Torino,IX,intrecci di nastri,marmo,http://93.62.170.226/foto/M0021532.jpg
0515/PM,,antica Chiesa del S. Salvatore di Torino,VIII/IX,matasse di nastri,marmo,http://93.62.170.226/foto/M0021534.jpg
0516/PM,,antica Chiesa del S. Salvatore di Torino,VIII/XI,intrecci di nastri con rami fogliati,marmo,http://93.62.170.226/foto/M0021535.jpg
0539/PM,,lapicida piemontese,1647 - 1647,iscrizione,marmo,http://93.62.170.226/foto/M0021556.jpg
0541/PM,,modellatore ignoto,ca. 1700 - ca. 1700,Principe Eugenio,marmo,http://93.62.170.226/foto/M0021558.jpg
